"","DEG","up.results_OO_RO_padj.1","down.results_OO_RO_padj.1"
"312","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11863"
"313","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11948"
"314","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11951"
"315","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig11997"
"316","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12073"
"317","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12087"
"318","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12103"
"319","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12108"
"320","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12221"
"321","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12246"
"322","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12283"
"323","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12293"
"324","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12298"
"325","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12368"
"326","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12369"
"327","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12378"
"328","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12393"
"329","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12428"
"330","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12434"
"331","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12453"
"332","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12485"
"333","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12536"
"334","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12576"
"335","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12578"
"336","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12581"
"337","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12589"
"338","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12590"
"339","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12704"
"340","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12743"
"341","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12778"
"342","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig12794"
